"ELEV_MAX","ELEV_MEAN","ELEV_STD","SLOPE_MAX","SLOPE_MEAN","SLOPE_STD","TCI_MEAN","TCI_STD","SURFratio_MEAN","SURFratio_STD","TA","NP","PD","LPI","ED","FRAC_AM","FRAC_SD","PARA_AM","PARA_SD","IJI","COHESION","PR","PRD","SIEI","PLADJ","ENN_AM","ENN_SD","eucalipto_AREA_perc","flnatural_AREA_perc","matosa_AREA_perc","matosb_AREA_perc","outfolhosas_AREA_perc","pinheiro_AREA_perc","urbano_AREA_perc","DensRoadAll","DensRoad6Less","DensRoad6Plus","RoadAreaPerc","Area_06","PopRes91","PopRes01","PopResTrab91","PopResTrab01","PopAct91","PopAct01","PopResQualSec91","Analf91","Analf01","PropPopRes3C01","DensPop91","DensPop01","PropIdosos91","PropIdosos01","IDepIdosos91","IDepIdosos01","PropPopResTrab91","PropPopResTrab01","PropPopResSubTmp91","PropPopResSubTmp01","PropPopResPensRef91","PropPopResPensRef01","bio2","bio1","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19","TotalBurntArea"
396,168.508,76.7385,44.959,18.8775,11.9055,3.45139,1.57855,1.02896,0.029632,189.92,50,26.3269,30.7182,145.4297,1.1451,0.0524,330.3496,1004.9115,70.7903,97.3101,13,6.845,1.0833,91.7413,141.1001,252.7194,4.804050164,0,0,3.132848417,3.724841512,36.33161165,14.10829563,1004.717139,179.1089421,825.6081968,0.774565493,190.06,1259,1292,621,654,687,728,137,94,87,27.4,662.6,680,9.3,11.5,44.1,35.4,49.3,50.6,6.5,6.3,11.4,14.4,91.5,141.75,43.75,4109.5,254.25,46.75,207.5,96.75,193,194.5,89,1223.25,165.25,15.25,51,489.5,83.75,101.5,478,0
706,604.489,42.7725,39.1152,8.99396,6.03132,3.96267,1.82007,1.00856,0.0117219,1530.52,269,17.5757,9.83,143.4676,1.175,0.0545,303.0735,595.4125,58.1881,98.0391,22,1.4374,1.0476,92.4232,152.8853,339.9342,0,0.652960171,3.00218314,4.519891959,0.2280799,31.43788175,7.69802245,695.5154664,465.339816,230.1756503,0.464482334,1531.09,380,272,77,67,84,71,2,99,53,8.5,24.8,17.8,27.1,33.5,75.9,72.2,20.3,24.6,0.3,1.1,27.6,39,97.364,130.818,36.909,5700.36,283.045,22.318,260.727,60.636,206,206.091,60.636,1009.55,150.591,10.546,54.455,406.864,67.5,67.636,406.864,3790
88,34.2032,23.7021,14.3287,2.32026,1.76678,5.29825,1.96145,1.00118,0.0014883,3506.32,201,5.7325,25.2341,78.4498,1.1828,0.0545,166.0373,475.5552,57.0398,99.1926,24,0.6845,1.0435,95.8491,148.4059,604.5535,6.605220531,0,1.497269955,0.806265745,2.262572654,52.87453468,7.993161529,1103.724265,431.7661937,671.9580715,0.973664418,3521.41,4132,4171,1481,1600,1544,1763,381,487,491,27.1,117.4,118.5,16.8,22.8,50.7,56,35.8,38.4,1.2,2.5,21.3,26.7,79.333,154.569,43.824,3458.25,249.137,69.882,179.255,116.765,195.725,197.941,108.765,884.588,126.471,8.216,54.824,362.059,53.98,61.02,355.235,0
486,451.002,10.0267,14.9927,4.27401,2.76242,5.23261,2.78308,1.00237,0.00259435,411.26,252,61.2751,7.4746,222.2682,1.121,0.0489,474.2985,980.7696,75.9022,94.5357,28,6.8083,1.037,88.1425,208.8881,275.9819,0,0.481747872,3.628844525,3.948395877,3.263297144,3.897558162,29.12758994,2894.232172,2432.611406,461.6207661,2.306689593,411.68,5982,5699,2420,2513,2540,2742,841,349,274,42.3,1451.9,1383.3,12.2,15.8,47.6,45.9,40.5,44.1,1.1,2.2,14.6,17.4,98.556,139.333,39.889,5079,280.222,34.889,245.333,76.111,205,205.778,76.111,1157.89,171.778,11.667,54.778,468.222,74.778,77.889,468.222,0
112,51.3627,16.1327,25.935,6.16157,4.32806,4.52182,2.45958,1.00553,0.00640633,592.29,110,18.572,24.2179,122.5582,1.1518,0.0568,272.8731,1073.3259,61.0042,98.051,17,2.8702,1.0625,93.1782,147.9234,413.7437,34.05988987,1.010998161,0,3.991931277,0.705347554,7.147521883,10.26112751,1684.944704,457.8323752,1227.112329,1.262009732,592.66,1870,1898,946,928,964,1012,118,105,82,19.2,315.3,320.1,10.1,11.7,46.1,42,50.6,48.9,0.7,2.6,13.6,13.6,84.091,143.091,44.818,3704.45,242.273,56,186.273,97.455,188.909,190.727,96.364,1232.55,168.182,15.091,51.364,489.364,83.455,102.182,489.364,0
538,165.846,98.5007,49.1442,10.4694,8.59308,3.8134,2.07007,1.01626,0.0198993,4054.64,592,14.6006,43.9215,118.1708,1.2075,0.0567,245.4225,732.5414,64.144,99.1121,28,0.6906,1.037,93.8644,112.2383,670.3509,52.17632314,0,0.251760808,1.543936648,1.441612811,23.53521865,3.992101927,929.8052923,542.9214803,386.883812,0.636942897,4057.88,2527,2446,1041,1122,1083,1199,183,211,190,22.6,62.3,60.3,15.6,20.9,53.5,53.8,41.2,45.9,0.8,1.4,16.3,21.5,95.387,150.129,43.081,4213.73,270.629,51.71,218.919,103.226,202.194,204.016,95.339,1050.97,147.806,11.516,52.629,420.532,70.694,77.355,417.629,1215
202,122.558,36.5485,23.055,7.03619,3.759,3.91164,1.52865,1.00598,0.00575383,594.25,147,24.7371,8.8952,169.2385,1.1771,0.0612,366.3441,969.6887,61.5075,97.387,20,3.3656,1.0526,90.8414,119.6398,538.7527,10.20709354,0,4.341736003,8.772112995,0,43.6598684,5.6914205,938.8607703,521.158742,417.7020283,1.070560287,594.84,850,951,321,429,349,473,111,73,54,30.7,142.9,159.8,14.4,18.4,46.8,44.5,37.8,45.1,1.4,1.4,19.5,22.4,80,148.625,43.875,3489,244.125,63.25,180.875,110.625,190.375,192.5,102.25,964.25,137.25,9.875,54,392,61.5,68.5,386,531
495,225.074,89.0789,39.5071,14.7925,9.02982,3.57335,2.14512,1.02023,0.0187247,543.05,85,15.6523,19.5728,110.5791,1.1297,0.066,247.0122,1023.463,72.7617,97.8016,20,3.6829,1.0526,93.8247,223.9622,390.0343,30.91484624,1.240551888,2.142105107,2.908058857,1.097622719,12.55577775,5.110633997,1164.99925,492.906639,672.092611,0.835300697,543.6,1138,1149,368,413,383,445,61,170,139,17.8,209.2,211.2,14,18.2,73.7,55.1,32.3,35.9,1.8,3.6,19.4,23.8,95.778,139.333,41.667,4554.89,266.333,39.778,226.556,89.222,197.667,198.444,82.111,1229.44,164,15.889,50.889,486.556,87.111,101.333,481.778,847
529,390.668,95.6349,45.7005,13.9974,8.05781,3.35895,1.72091,1.01796,0.0189448,943.73,197,20.8746,18.8242,144.8296,1.1685,0.0562,311.4238,919.6675,66.9921,98.0813,28,2.967,1.037,92.2144,276.2882,644.0788,11.38267977,4.491276002,1.997294376,6.567660704,0.287888788,34.60992683,10.31865125,1056.906959,339.672447,717.2345119,0.780565469,944.59,2040,2410,887,1173,905,1231,286,165,140,33.7,215.9,255,12.6,14.3,57.8,48.7,43.5,48.7,1,1.8,16.8,16,95.846,137.077,41,4637.31,266.615,36.308,230.308,86.308,196,197.538,78.462,1213.69,175.615,13.308,53.308,488.385,80.769,86.769,485.692,1533
870,549.003,126.545,46.7269,16.3147,10.6914,3.3234,1.9045,1.02553,0.0249903,1711.89,148,8.6454,12.0907,99.9013,1.1581,0.0559,214.7802,1004.2148,68.3869,98.4267,26,1.5188,1.04,94.6305,224.2359,623.2183,0,12.1546209,0.210898374,14.97961044,0,31.84448922,2.361828747,535.1568213,40.93530504,494.2215162,0.654928995,1712.52,308,302,134,80,135,75,12,26,30,12.3,18,17.6,23.1,32.5,79.1,84.1,43.5,26.5,3.6,2,26.3,38.1,105.889,131.148,39.037,5614.52,286.148,18.667,267.481,61.556,204.926,204.926,61.556,974.518,141,12.741,52.296,389.519,70.111,70.111,389.519,3019
